					
tables charis apples oranges	0	大学教員	M	40	0 t 74 a 134 b 156 l 90 e 164 s 234 SPACE 549 c 138 h 63 a 137 r 243 s 195 SPACE 159 a 166 p 150 p 171 l 138 e 709 s 390 SPACE 351 o 91 r 131 a 176 n 101 g 78 e 214 s 500 Enter
tables charis apples oranges	0	大学教員	M	40	0 t 83 a 199 b 156 l 81 e 172 s 189 SPACE 264 c 147 h 138 a 149 r 133 i 1251 s 382 SPACE 269 a 202 p 160 p 209 l 77 e 238 s 250 SPACE 303 o 190 r 136 a 288 n 209 g 94 e 307 s 486 Enter
tables chairs apples oranges	0	大学教員	M	40	0 t 69 a 130 b 166 l 61 e 195 s 112 SPACE 216 c 94 h 154 a 475 i 101 r 262 s 230 SPACE 182 a 203 p 525 p 334 l 160 e 213 s 172 SPACE 326 o 399 r 250 a 238 n 151 g 85 e 236 s 501 Enter
tables chairs apples oranges	0	大学教員	M	40	0 t 67 a 163 b 163 l 75 e 185 s 165 SPACE 314 c 117 h 229 a 252 i 90 r 250 s 263 SPACE 321 a 203 p 157 p 211 l 115 e 178 s 213 SPACE 714 o 75 r 155 a 260 n 160 g 57 e 483 s 391 Enter
tables chairs apples oranges	0	大学教員	M	40	0 t 85 a 166 b 176 l 84 e 195 s 116 SPACE 188 c 103 h 138 a 311 i 343 r 260 s 287 SPACE 560 a 163 p 145 p 231 l 108 e 188 s 212 SPACE 291 o 148 r 124 a 176 n 88 g 102 e 232 s 1808 Enter
tables chairs apples oranges	1	無職	F	70	0 t 1781 a 12454 b 5352 l 6092 e 13171 s 10828 SPACE 9298 c 2739 h 3713 a 11187 i 8496 r 6603 s 4637 SPACE 1580 a 5315 p 988 p 6363 l 4727 e 2083 s 1815 SPACE 8673 o 1766 r 4488 a 3897 n 7116 g 1929 e 1808 s 2455 Enter
te bles chairs apples oranges	1	無職	F	70	0 t 3885 e 4680 b 4119 l 2618 e 735 s 2226 SPACE 3499 c 923 h 3905 a 9321 i 1717 r 1913 s 1778 SPACE 2193 a 7770 p 589 p 1909 l 2727 e 2311 s 2264 SPACE 5291 SPACE 12942 o 3686 r 1509 a 4806 n 6809 g 970 e 586 s 10577 Enter
tables chairs apples oranges	1	無職	F	70	0 t 15588 a 13960 b 3482 l 2801 e 519 s 3229 SPACE 13906 c 1256 h 5059 a 1341 i 4877 r 783 s 2148 SPACE 11800 a 3470 p 509 p 5718 l 1135 e 445 s 1892 SPACE 6890 o 1406 r 4910 a 1824 n 5144 g 951 e 1345 s 2633 Enter
tables chairs apples oranges	1	無職	F	70	0 t 2224 a 3747 b 4962 l 1564 e 444 s 1993 SPACE 3158 c 2194 h 5022 a 1307 i 8435 r 4570 s 2364 SPACE 28348 a 1921 p 632 p 2316 l 1943 e 510 s 2158 SPACE 6675 o 3118 r 1640 a 2164 n 4160 g 768 e 482 s 3167 Enter
tables chairs apples oranges	1	無職	F	70	0 t 2124 a 1793 b 3185 l 1281 e 436 s 1592 SPACE 2574 c 5529 h 4028 a 1656 i 4077 r 2533 s 1560 SPACE 2172 a 3237 p 534 p 2307 l 2601 e 527 s 1551 SPACE 5974 o 3741 r 962 a 3450 n 3092 g 1338 e 1215 s 3849 Enter
tables chairs apples oranges	2	主婦	F	40	0 t 1042 a 2087 b 1341 l 2553 e 505 s 1385 SPACE 2469 c 658 h 1575 a 838 i 1552 r 416 s 798 SPACE 1552 a 2003 p 232 p 1586 l 737 e 1075 s 1830 SPACE 2768 o 804 r 1971 a 747 n 2439 g 461 e 359 s 887 Enter
tables chairs apples oranges	2	主婦	F	40	0 t 456 a 941 b 859 l 690 e 292 s 664 SPACE 1964 c 741 h 1915 a 718 i 4001 r 292 s 615 SPACE 1153 a 619 p 173 p 995 l 716 e 283 s 816 SPACE 1889 o 684 r 2287 a 1173 n 1533 g 773 e 282 s 628 Enter
tables chairs apples oranges	2	主婦	F	40	0 t 497 a 1337 b 550 l 1054 e 295 s 1477 SPACE 1636 c 619 h 1775 a 652 i 907 r 513 s 1593 SPACE 1135 a 594 p 175 p 340 l 701 e 282 s 1127 SPACE 1683 o 778 r 847 a 1413 n 486 g 702 e 250 s 610 Enter
atables chairs apples oranges	2	主婦	F	40	0 t 643 a 1417 b 478 l 627 e 319 s 1104 SPACE 1372 c 1132 h 1569 a 590 i 696 r 367 s 574 SPACE 2976 a 584 p 170 p 350 l 533 e 228 s 524 SPACE 2138 o 1033 r 920 a 1221 n 507 g 729 e 236 s 730 Enter
tables chairs apples oranges	2	主婦	F	40	0 t 467 a 1417 b 570 l 1578 e 729 s 869 SPACE 1520 c 749 h 746 a 2317 i 825 r 404 s 527 SPACE 1334 a 599 p 177 p 428 l 635 e 304 s 661 SPACE 1531 o 1711 r 508 a 797 n 665 g 602 e 246 s 1185 Enter
tables chairs apples oranges	3	教員	F	40	0 t 289 a 140 b 135 l 130 e 201 s 1324 SPACE 255 c 143 h 150 a 1535 i 234 r 314 s 713 SPACE 405 a 132 p 139 p 174 l 90 e 186 s 187 SPACE 390 o 114 r 157 g 989 a 202 n 242 g 204 e 214 s 1922 Backspace 306 Backspace 1053 e 220 s 594 Backspace 182 Backspace 320 Backspace 176 Backspace 156 Backspace 153 Backspace 173 Backspace 362 Backspace 302 o 207 r 214 a 363 n 315 g 203 e 188 s 431 Enter
tables chairs apples oranges	3	教員	F	40	0 t 133 a 99 b 100 l 92 e 164 s 111 SPACE 217 c 81 h 129 a 215 i 168 r 208 s 212 SPACE 130 a 166 p 137 p 162 l 89 e 175 s 355 SPACE 438 a 415 Backspace 326 p 383 r 295 Backspace 139 Backspace 534 o 121 r 188 a 262 n 788 g 205 e 177 s 716 Enter
tables chairs apples oranges	3	教員	F	40	0 t 137 a 54 b 105 l 109 e 158 s 116 SPACE 189 c 82 h 103 a 110 i 125 r 249 s 164 SPACE 188 a 105 p 128 p 156 e 48 l 239 s 648 Backspace 145 Backspace 153 Backspace 234 l 88 e 180 s 220 SPACE 230 o 151 r 190 a 158 n 151 g 152 e 169 s 379 Enter
tables chairs apples oranges	3	教員	F	40	0 t 120 a 72 b 118 l 93 e 164 s 328 SPACE 223 c 89 h 94 a 111 i 112 r 202 s 187 SPACE 192 a 94 p 130 p 156 l 75 e 178 s 240 SPACE 198 o 129 r 499 a 159 n 146 g 147 e 185 s 543 Enter
tables chairs apples oranges	3	教員	F	40	0 t 117 a 55 b 99 l 104 e 148 s 106 SPACE 163 c 92 h 106 a 87 i 151 r 606 s 252 SPACE 245 a 95 p 117 p 160 l 78 e 151 s 1152 SPACE 229 o 181 r 157 a 145 n 114 g 149 e 182 s 372 Enter
tables chairs apples oranges	4	会社員	F	40	0 t 171 a 398 b 1010 Backspace 781 Backspace 2810 t 1620 a 417 b 2155 l 265 e 318 s 469 SPACE 796 c 371 h 418 a 355 i 225 r 415 s 342 SPACE 403 a 457 p 184 p 345 l 222 e 317 s 321 SPACE 1385 o 425 r 207 a 420 n 377 g 224 e 282 s 2330 Enter
tables chairs apples oranges	4	会社員	F	40	0 t 180 a 358 b 529 l 275 e 240 s 287 SPACE 568 c 232 h 213 a 360 i 839 r 628 e 1654 Backspace 399 s 329 SPACE 402 a 520 p 197 p 570 l 219 e 316 s 390 SPACE 752 o 226 r 189 a 148 n 195 g 179 e 308 s 473 SPACE 1016 Backspace 294 Enter
tables chairs apples oranges	4	会社員	F	40	0 t 124 a 557 b 537 l 190 e 274 s 288 SPACE 887 c 299 h 171 a 1421 i 753 r 471 s 351 SPACE 1324 a 289 p 191 p 296 l 204 e 268 s 222 SPACE 408 o 406 r 174 a 208 n 259 g 165 e 1200 s 635 Enter
tables chairs apples oranges	4	会社員	F	40	0 t 154 a 312 b 307 l 171 e 233 s 317 SPACE 738 c 225 h 185 a 468 i 198 r 357 s 329 SPACE 948 a 626 p 213 p 267 l 174 e 235 s 205 SPACE 711 o 205 r 160 a 204 n 218 e 1321 Backspace 221 g 188 e 248 s 615 Enter
tables chairs apples oranges	4	会社員	F	40	0 t 133 a 470 b 216 l 191 e 241 s 281 SPACE 792 c 249 h 193 a 425 i 217 r 399 s 323 SPACE 1235 a 310 p 206 p 655 l 190 e 275 s 431 SPACE 871 o 210 r 227 a 539 n 318 g 116 e 342 s 4364 Enter
tables chairs apples oranges	5	エンジニア	M	40	0 t 256 a 137 b 422 l 114 e 189 s 234 SPACE 569 v 1465 Backspace 297 c 198 h 160 a 603 i 73 r 180 s 170 SPACE 1637 a 332 p 132 p 185 l 126 e 374 s 909 SPACE 371 o 252 r 349 a 362 n 281 g 99 e 207 s 339 Enter
tables chairs apples oranges	5	エンジニア	M	40	0 t 669 a 322 b 206 l 227 e 1020 SPACE 660 c 137 h 260 a 541 i 210 r 892 s 2097 ArrowLeft 175 ArrowLeft 130 ArrowLeft 124 ArrowLeft 153 ArrowLeft 229 ArrowLeft 191 ArrowLeft 793 s 313 ArrowRight 164 ArrowRight 139 ArrowRight 143 ArrowRight 137 ArrowRight 205 ArrowRight 262 ArrowRight 726 SPACE 265 a 279 p 135 p 190 l 504 e 406 s 366 SPACE 545 o 176 r 275 a 582 n 241 g 88 e 190 s 435 Enter
tables chairs apples oranges	5	エンジニア	M	40	0 t 199 a 109 b 178 l 116 e 207 s 530 SPACE 211 c 138 h 286 a 486 i 85 r 216 s 399 SPACE 253 a 263 p 117 p 170 l 127 e 195 s 332 SPACE 365 o 204 r 294 a 264 n 264 g 95 e 175 s 442 Enter
tables chairs apples oranges	5	エンジニア	M	40	0 t 235 a 95 b 167 l 147 e 378 s 229 SPACE 431 c 150 h 185 a 336 i 125 r 280 s 483 SPACE 763 a 189 p 108 p 170 l 79 e 921 s 269 SPACE 464 o 198 r 269 a 230 n 253 g 89 e 193 s 1345 Enter
tables chairs apples oranges	5	エンジニア	M	40	0 t 182 a 92 b 167 l 115 e 328 s 359 SPACE 372 c 126 h 254 a 175 i 164 r 213 s 217 SPACE 515 a 239 p 115 p 149 l 105 e 194 s 216 SPACE 565 o 68 p 246 r 259 a 190 n 195 g 107 e 170 s 1098 Backspace 170 Backspace 633 Backspace 314 Backspace 466 Backspace 133 Backspace 131 Backspace 972 r 275 a 355 n 262 g 97 e 142 s 2379 Backspace 2682 s 7747 Enter
tables chairs apples oranges	6	学生	F	20	0 t 122 a 249 b 320 l 176 e 375 s 128 SPACE 1539 c 380 j 624 Backspace 181 h 85 a 135 i 541 r 766 s 145 SPACE 1346 a 228 p 86 p 176 l 551 e 192 s 165 SPACE 537 o 585 r 108 a 319 n 286 g 198 e 481 s 214 Enter
